date,close
11:48:30 11/17/2017,82.71484375
11:48:34 11/17/2017,95.21484375
11:48:37 11/17/2017,90.91796875
11:48:41 11/17/2017,85.9375
11:48:45 11/17/2017,82.8125
11:48:48 11/17/2017,80.859375
11:48:52 11/17/2017,76.7578125
11:48:56 11/17/2017,79.39453125
11:48:59 11/17/2017,84.47265625
11:49:03 11/17/2017,90.4296875
11:49:06 11/17/2017,91.9921875
11:49:10 11/17/2017,95.21484375
11:49:14 11/17/2017,95.41015625
11:49:17 11/17/2017,95.21484375
11:49:21 11/17/2017,89.0625
11:49:24 11/17/2017,84.47265625
11:49:28 11/17/2017,83.7890625
11:49:32 11/17/2017,81.0546875
11:49:35 11/17/2017,78.02734375
11:49:39 11/17/2017,76.953125
11:49:43 11/17/2017,77.05078125
11:49:46 11/17/2017,77.1484375
11:49:50 11/17/2017,79.296875
11:49:53 11/17/2017,80.37109375
11:49:57 11/17/2017,80.078125
11:50:01 11/17/2017,80.17578125
11:50:04 11/17/2017,80.859375
11:50:08 11/17/2017,81.8359375
11:50:12 11/17/2017,81.54296875
11:50:15 11/17/2017,83.30078125
11:50:19 11/17/2017,84.9609375
11:50:22 11/17/2017,88.18359375
11:50:26 11/17/2017,87.98828125
11:50:30 11/17/2017,89.94140625
11:50:33 11/17/2017,91.50390625
11:50:37 11/17/2017,92.1875
11:50:40 11/17/2017,92.28515625
11:50:44 11/17/2017,95.01953125
11:50:48 11/17/2017,94.53125
11:50:51 11/17/2017,90.234375
11:50:55 11/17/2017,88.8671875
11:50:59 11/17/2017,83.0078125
11:51:02 11/17/2017,79.6875
11:51:06 11/17/2017,77.24609375
11:51:09 11/17/2017,78.61328125
11:51:13 11/17/2017,81.54296875
11:51:17 11/17/2017,87.59765625
11:51:20 11/17/2017,92.48046875
11:51:24 11/17/2017,93.1640625
11:51:28 11/17/2017,94.3359375
11:51:31 11/17/2017,93.9453125
11:51:35 11/17/2017,91.2109375
11:51:38 11/17/2017,90.33203125
11:51:42 11/17/2017,86.5234375
11:51:46 11/17/2017,83.203125
11:51:49 11/17/2017,80.37109375
11:51:56 11/17/2017,78.7109375
11:52:00 11/17/2017,84.27734375
11:52:04 11/17/2017,79.296875
11:52:07 11/17/2017,79.58984375
11:52:11 11/17/2017,83.10546875
11:52:15 11/17/2017,88.37890625
11:52:18 11/17/2017,91.89453125
11:52:22 11/17/2017,93.1640625
11:52:25 11/17/2017,94.43359375
11:52:29 11/17/2017,94.3359375
11:52:33 11/17/2017,91.796875
11:52:36 11/17/2017,90.4296875
11:52:40 11/17/2017,85.64453125
11:52:44 11/17/2017,82.6171875
11:52:47 11/17/2017,80.46875
