date,close
1-Dec-17,71.58203125
2-Dec-17,80.95703125
3-Dec-17,84.27734375
4-Dec-17,90.0390625
5-Dec-17,93.65234375
6-Dec-17,91.30859375
7-Dec-17,87.40234375
8-Dec-17,100
9-Dec-17,78.22265625
10-Dec-17,88.8671875
11-Dec-17,98.73046875
12-Dec-17,100
13-Dec-17,98.046875
14-Dec-17,100
15-Dec-17,73.046875
16-Dec-17,80.6640625
17-Dec-17,82.12890625
18-Dec-17,100
19-Dec-17,95.60546875
20-Dec-17,91.89453125
21-Dec-17,87.5
22-Dec-17,79.8828125
23-Dec-17,73.6328125
24-Dec-17,74.4140625
25-Dec-17,79.4921875
26-Dec-17,87.79296875
27-Dec-17,96.38671875
28-Dec-17,91.89453125
29-Dec-17,81.34765625
0-Dec-17,74.0234375
1-Dec-17,77.63671875
2-Dec-17,86.81640625
3-Dec-17,96.19140625
4-Dec-17,95.703125
5-Dec-17,90.13671875
6-Dec-17,81.73828125
7-Dec-17,75.78125
8-Dec-17,76.5625
9-Dec-17,80.2734375
10-Dec-17,86.1328125
11-Dec-17,92.1875
12-Dec-17,96.38671875
13-Dec-17,96.77734375
14-Dec-17,95.3125
15-Dec-17,93.06640625
16-Dec-17,86.03515625
17-Dec-17,80.17578125
18-Dec-17,76.7578125
19-Dec-17,75.5859375
20-Dec-17,75.68359375
21-Dec-17,78.02734375
22-Dec-17,80.37109375
23-Dec-17,85.64453125
24-Dec-17,95.5078125
25-Dec-17,96.38671875
26-Dec-17,93.359375
27-Dec-17,84.86328125
28-Dec-17,75.48828125
29-Dec-17,77.34375
0-Dec-17,82.2265625
1-Dec-17,92.08984375
2-Dec-17,96.6796875
3-Dec-17,93.65234375
4-Dec-17,89.453125
5-Dec-17,80.078125
6-Dec-17,75.29296875
7-Dec-17,78.80859375
8-Dec-17,86.42578125
9-Dec-17,94.921875
10-Dec-17,96.58203125
11-Dec-17,92.96875
12-Dec-17,90.13671875
13-Dec-17,85.9375
14-Dec-17,79.296875
15-Dec-17,77.1484375
16-Dec-17,75.68359375
17-Dec-17,75.29296875
18-Dec-17,77.1484375
19-Dec-17,79.4921875
20-Dec-17,82.6171875
21-Dec-17,89.55078125
22-Dec-17,97.0703125
23-Dec-17,97.55859375
24-Dec-17,95.5078125
25-Dec-17,93.45703125
26-Dec-17,88.57421875
27-Dec-17,82.8125
28-Dec-17,78.7109375
29-Dec-17,75.9765625
0-Dec-17,75.1953125
1-Dec-17,76.5625
2-Dec-17,79.78515625
3-Dec-17,86.1328125
4-Dec-17,95.80078125
5-Dec-17,96.6796875
6-Dec-17,95.1171875
7-Dec-17,92.7734375
8-Dec-17,86.03515625
9-Dec-17,81.15234375
10-Dec-17,78.3203125
11-Dec-17,75.87890625
12-Dec-17,75.1953125
13-Dec-17,76.66015625
14-Dec-17,78.22265625
15-Dec-17,82.2265625
16-Dec-17,87.01171875
17-Dec-17,90.8203125
18-Dec-17,94.3359375
19-Dec-17,96.58203125
20-Dec-17,95.5078125
21-Dec-17,93.1640625
22-Dec-17,90.72265625
23-Dec-17,82.6171875
24-Dec-17,80.078125
